Sample_id,Population
HG00338,FIN
NA12282,CEU
HG03757,STU
HG04059,ITU
HG03718,ITU
HG01501,IBS
HG00308,FIN
NA12890,CEU
HG00334,FIN
NA20783,TSI
HG01518,IBS
HG01789,GBR
HG02236,IBS
HG03886,STU
HG00306,FIN
HG00384,FIN
HG01525,IBS
HG03998,STU
HG01695,IBS
HG03949,STU
NA20529,TSI
HG00318,FIN
HG03888,STU
NA20758,TSI
NA12234,CEU
HG01617,IBS
NA20582,TSI
NA12004,CEU
NA20587,TSI
NA12058,CEU
HG03864,ITU
NA20800,TSI
NA07056,CEU
HG01770,IBS
HG04002,ITU
HG04229,STU
HG00277,FIN
HG01669,IBS
NA20515,TSI
HG03844,STU
HG01670,IBS
NA20773,TSI
HG03696,STU
HG03900,STU
NA20534,TSI
HG03779,ITU
HG01747,IBS
HG02215,GBR
HG03849,STU
HG03862,ITU
HG01624,IBS
NA20775,TSI
NA12776,CEU
HG04090,ITU
HG03756,STU
NA07000,CEU
NA20812,TSI
NA20757,TSI
NA20540,TSI
NA20763,TSI
NA12340,CEU
HG00246,GBR
HG01684,IBS
HG00355,FIN
NA11918,CEU
HG00137,GBR
NA12045,CEU
HG00368,FIN
NA20505,TSI
NA12873,CEU
NA20807,TSI
HG00259,GBR
NA12400,CEU
HG01680,IBS
NA12751,CEU
HG04047,STU
NA12283,CEU
NA20520,TSI
HG01531,IBS
HG03871,ITU
HG03882,ITU
NA12874,CEU
HG01613,IBS
HG00102,GBR
NA20533,TSI
NA12156,CEU
HG00262,GBR
NA12750,CEU
HG03896,STU
NA06986,CEU
HG00151,GBR
HG00132,GBR
HG01522,IBS
HG00324,FIN
HG00127,GBR
NA20522,TSI
HG01632,IBS
HG04212,ITU
HG03851,STU
HG02230,IBS
HG03953,STU
HG03870,ITU
NA12843,CEU
HG04238,ITU
HG00328,FIN
HG00181,FIN
HG04080,ITU
HG00315,FIN
NA20803,TSI
NA11881,CEU
HG00183,FIN
HG00113,GBR
HG00350,FIN
HG00142,GBR
HG04219,ITU
HG03854,STU
HG01503,IBS
HG01612,IBS
HG00159,GBR
HG03742,ITU
HG02239,IBS
HG01704,IBS
HG04054,ITU
HG04033,STU
NA20827,TSI
HG01773,IBS
HG01524,IBS
HG00357,FIN
NA12287,CEU
HG03887,STU
HG04098,ITU
HG00269,FIN
NA12414,CEU
HG03868,ITU
HG00099,GBR
NA20764,TSI
NA12383,CEU
HG00240,GBR
HG01530,IBS
HG00136,GBR
NA07051,CEU
HG03973,ITU
HG04029,STU
HG03788,ITU
HG00255,GBR
HG03744,STU
NA12413,CEU
HG03754,STU
HG01682,IBS
HG00112,GBR
HG03694,STU
NA20503,TSI
HG03866,ITU
HG01779,IBS
HG00364,FIN
NA20819,TSI
NA20752,TSI
HG04202,ITU
NA20806,TSI
NA06994,CEU
HG01685,IBS
NA12489,CEU
NA12399,CEU
HG01506,IBS
HG04096,ITU
NA07347,CEU
HG00177,FIN
HG04094,ITU
NA12348,CEU
HG01705,IBS
HG00120,GBR
HG03692,STU
HG04042,STU
HG00356,FIN
HG01784,IBS
HG01509,IBS
HG03863,ITU
HG03945,STU
HG04216,ITU
HG03752,STU
HG03686,STU
NA20767,TSI
HG00319,FIN
NA20769,TSI
HG00263,GBR
HG03838,STU
HG00251,GBR
HG04039,STU
HG03730,ITU
HG01608,IBS
HG04062,ITU
HG00304,FIN
NA20517,TSI
HG00119,GBR
NA20821,TSI
HG00231,GBR
HG00271,FIN
HG01775,IBS
HG03990,STU
HG00266,FIN
