Sample_id,Population
HG02402,CDX
NA18632,CHB
HG00599,CHS
HG00879,CDX
HG00683,CHS
HG02373,CDX
HG00419,CHS
NA18998,JPT
NA18597,CHB
NA18579,CHB
HG01850,KHV
HG01842,KHV
HG01871,KHV
NA18747,CHB
HG02019,KHV
NA18548,CHB
HG00436,CHS
NA18638,CHB
HG00728,CHS
HG00656,CHS
HG00536,CHS
NA18547,CHB
HG01861,KHV
NA19057,JPT
NA18526,CHB
NA18943,JPT
HG02050,KHV
NA18631,CHB
HG01816,CDX
NA18745,CHB
HG01817,CDX
NA19067,JPT
HG02407,CDX
HG01598,KHV
NA18626,CHB
HG00699,CHS
HG01812,CDX
HG02153,CDX
HG02386,CDX
HG00701,CHS
NA18606,CHB
HG01597,KHV
HG02017,KHV
HG02061,KHV
HG02178,CDX
NA18537,CHB
NA18963,JPT
NA18608,CHB
NA18532,CHB
NA18749,CHB
HG02401,CDX
HG01600,KHV
NA18534,CHB
HG02122,KHV
NA18962,JPT
HG02088,KHV
HG01797,CDX
NA18964,JPT
HG02409,CDX
NA19079,JPT
NA18648,CHB
NA19063,JPT
NA18612,CHB
HG02522,KHV
NA18624,CHB
NA18591,CHB
HG00881,CDX
HG01873,KHV
NA18959,JPT
NA18582,CHB
NA18566,CHB
NA19072,JPT
NA18617,CHB
HG02139,KHV
NA19055,JPT
HG01858,KHV
HG01805,CDX
HG02049,KHV
HG02351,CDX
HG02138,KHV
HG00982,CDX
HG01595,KHV
NA18605,CHB
HG02127,KHV
NA18944,JPT
NA18977,JPT
HG01795,CDX
HG02399,CDX
NA18953,JPT
HG00844,CDX
NA18628,CHB
NA18625,CHB
HG01801,CDX
NA18757,CHB
HG00559,CHS
NA19006,JPT
HG00614,CHS
HG02397,CDX
HG00671,CHS
HG02156,CDX
HG02023,KHV
NA18641,CHB
HG01851,KHV
HG00442,CHS
HG00531,CHS
HG00478,CHS
HG01864,KHV
HG01811,CDX
NA18956,JPT
NA18965,JPT
HG02116,KHV
HG00698,CHS
HG00584,CHS
HG02154,CDX
NA18630,CHB
NA18636,CHB
HG01872,KHV
HG00543,CHS
NA18980,JPT
NA18645,CHB
HG02070,KHV
HG02396,CDX
HG02187,CDX
NA18954,JPT
HG00409,CHS
HG02190,CDX
NA18993,JPT
HG00707,CHS
HG02130,KHV
NA18972,JPT
HG02081,KHV
NA18966,JPT
HG01865,KHV
HG00704,CHS
HG02410,CDX
HG02084,KHV
HG00608,CHS
HG00566,CHS
HG00524,CHS
HG02374,CDX
NA18561,CHB
HG02058,KHV
NA18991,JPT
HG00476,CHS
NA18647,CHB
HG02136,KHV
HG02355,CDX
HG02406,CDX
HG01855,KHV
NA18969,JPT
HG01807,CDX
HG00610,CHS
HG01804,CDX
HG01796,CDX
NA19065,JPT
HG00422,CHS
NA18560,CHB
NA19010,JPT
HG00613,CHS
NA18530,CHB
HG00445,CHS
HG01848,KHV
HG00542,CHS
NA18634,CHB
NA19005,JPT
NA18945,JPT
HG02085,KHV
HG02392,CDX
NA18979,JPT
NA18975,JPT
NA18573,CHB
HG02142,KHV
HG02072,KHV
HG02079,KHV
HG02521,KHV
NA19003,JPT
HG02184,CDX
NA19080,JPT
NA19004,JPT
NA18533,CHB
NA18603,CHB
HG02379,CDX
HG02060,KHV
HG01853,KHV
HG00557,CHS
HG02086,KHV
NA18940,JPT
HG02029,KHV
NA18539,CHB
HG02353,CDX
HG00759,CDX
HG00590,CHS
NA18644,CHB
HG00404,CHS
NA19078,JPT
NA19074,JPT
HG00581,CHS
NA18960,JPT
HG00654,CHS
HG02069,KHV
HG00530,CHS
NA18971,JPT
HG02364,CDX
NA18968,JPT
NA18621,CHB
HG00689,CHS
NA18577,CHB
NA19062,JPT
HG00589,CHS
NA18595,CHB
HG02367,CDX
HG02155,CDX
HG00443,CHS
NA18546,CHB
HG00675,CHS
NA18642,CHB
HG02384,CDX
HG01860,KHV
NA18562,CHB
NA19084,JPT
HG01802,CDX
NA18536,CHB
NA19070,JPT
NA18550,CHB
HG02164,CDX
HG00592,CHS
NA18618,CHB
HG00583,CHS
NA19002,JPT
HG01868,KHV
NA18986,JPT
HG02028,KHV
NA19088,JPT
HG02025,KHV
HG01863,KHV
HG00598,CHS
HG00580,CHS
NA18593,CHB
HG02141,KHV
HG02185,CDX
HG00458,CHS
NA18544,CHB
NA19001,JPT
HG01852,KHV
HG02389,CDX
NA18984,JPT
HG02031,KHV
NA18640,CHB
HG02512,KHV
NA18952,JPT
NA18592,CHB
HG02250,CDX
NA18538,CHB
HG01841,KHV
HG01798,CDX
HG01843,KHV
NA18614,CHB
HG00705,CHS
NA18627,CHB
HG00674,CHS
NA19000,JPT
NA18564,CHB
HG02082,KHV
NA19009,JPT
HG01596,KHV
NA19091,JPT
HG00457,CHS
HG02026,KHV
HG00626,CHS
HG00766,CDX
HG02380,CDX
NA18599,CHB
NA18976,JPT
HG00717,CHS
